coach,lob_code,pos_id,client,address,postal_code,province,town,group,last_order,TOTAL_2025,TOTAL_OBJ,TOTAL_YTD1,TOTAL_YTD,AVENE SIN SOLAR_2025,AVENE SIN SOLAR_OBJ,AVENE SIN SOLAR_YTD1,AVENE SIN SOLAR_YTD,AVENE SOLAR_2025,AVENE SOLAR_OBJ,AVENE SOLAR_YTD1,AVENE SOLAR_YTD,DUCRAY_2025,DUCRAY_OBJ,DUCRAY_YTD1,DUCRAY_YTD,A-DERMA_2025,A-DERMA_OBJ,A-DERMA_YTD1,A-DERMA_YTD,DEXERYL_2025,DEXERYL_OBJ,DEXERYL_YTD1,DEXERYL_YTD
AIDA CALERO FILELLA,0001014901,C011558,VILLAFRANCA SERRANO GEMMA,CL GRAN VIA CORTS CATAL 469,08015,BARCELONA,BARCELONA,NO GRUPOS,30/07/2026,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
AIDA CALERO FILELLA,0001014901,C013997,CUCUPHARMA S.L.,CL VALENCIA 293  LCL IZQ,08009,BARCELONA,BARCELONA,NO GRUPOS,30/07/2026,70.294,84.352,56.372,15.690,26.969,32.363,21.827,7.638,11.752,14.102,11.685,104,17.291,20.749,11.314,4.823,3.639,4.366,3.209,1.804,10.643,12.772,8.337,1.321
JESICA ELISABET CACERES GAMIZ,0001000030,C025710,SANCHEZ BALLESTER NURIA,"CL SANTA ANNA, 62",17258,GIRONA,"ESTARTIT, L'",NO GRUPOS,17/12/2020,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
JESICA ELISABET CACERES GAMIZ,0001000075,C026848,"FARMÀCIA GRATACÓS NADAL , C.B.","CL GANGANELL, 46",17850,GIRONA,BESALU,NO GRUPOS,08/06/2026,6,7,0,0,,,,,,,,,0,0,0,0,0,0,0,0,6,7,0,0
JESICA ELISABET CACERES GAMIZ,0001000918,C042306,MUZAS CUCALON CONCEPCION,CL PUJADA SANT FELIU 5 (FCIA),17004,GIRONA,GIRONA,NO GRUPOS,26/06/2026,0,0,0,5.675,0,0,0,1.482,0,0,0,2.211,0,0,0,934,0,0,0,955,0,0,0,93
JESICA ELISABET CACERES GAMIZ,0001000920,C020793,FCIA  DE  CIURANA CB,RD PARE CLARET 16,17002,GIRONA,GIRONA,NO GRUPOS,17/06/2026,471,565,135,166,248,297,67,0,0,0,0,0,150,180,34,0,16,19,8,0,58,69,27,166
JESICA ELISABET CACERES GAMIZ,0001000921,C000555,FOLCH RUBAU FRANCESC,AV GRAN VIA JAUME I 61,17002,GIRONA,GIRONA,NO GRUPOS,08/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JESICA ELISABET CACERES GAMIZ,0001000921,C037621,FOLCH RUBAU FRANCESC,AV GRAN VIA JAUME I 61,17002,GIRONA,GIRONA,ECOCEUTICS,08/06/2026,5.265,6.317,2.691,3.675,2.504,3.005,863,1.006,1.606,1.928,1.606,1.976,674,809,45,273,122,147,39,242,357,429,138,180
JESICA ELISABET CACERES GAMIZ,0001000926,C021771,NOGUERA NIETO TERESA,CL DE LA CREU 18,17002,GIRONA,GIRONA,NO GRUPOS,26/06/2026,8.101,9.721,7.451,6.593,2.918,3.502,2.433,1.990,2.407,2.888,2.527,2.241,1.055,1.266,878,1.070,450,541,450,240,1.270,1.524,1.163,1.052
JESICA ELISABET CACERES GAMIZ,0001000931,C000563,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,56,67,56,0,32,38,32,0,0,0,0,0,0,0,0,0,14,17,14,0,9,11,9,0
JESICA ELISABET CACERES GAMIZ,0001000931,C008069,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,3.634,4.361,3.368,1.985,827,992,650,1.463,2.323,2.787,2.323,223,62,75,62,101,276,332,276,197,146,176,57,0
JESICA ELISABET CACERES GAMIZ,0001000931,C043984,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,7.245,8.694,7.245,0,3.244,3.893,3.244,0,2.308,2.770,2.308,0,969,1.162,969,0,427,512,427,0,298,357,298,0
JESICA ELISABET CACERES GAMIZ,0001000931,C046778,SIMON BONET MARIA ASUNCION,CL CREU 42 (FCIA),17002,GIRONA,GIRONA,NO GRUPOS,20/07/2026,2.049,2.459,0,5.193,1.159,1.390,0,2.415,0,0,0,861,542,650,0,947,230,275,0,569,120,143,0,402
JESICA ELISABET CACERES GAMIZ,0001000933,C013601,ALSIUS SUÑER ESTEVE,CL GIRONA 7,17820,GIRONA,BANYOLES,NO GRUPOS,29/06/2026,2.842,3.410,1.767,1.486,527,632,249,288,716,859,716,836,848,1.018,399,42,17,21,17,43,734,880,386,277
JESICA ELISABET CACERES GAMIZ,0001000935,C004648,CENDRA COLOMER LLUIS,CL AVE MARIA 3 (FCIA),17130,GIRONA,"ESCALA, L'",NO GRUPOS,28/07/2026,20.536,24.644,17.732,5.826,7.600,9.119,5.566,391,6.464,7.757,6.438,5.326,2.692,3.231,2.375,26,2.475,2.970,2.372,84,1.305,1.566,981,0
JESICA ELISABET CACERES GAMIZ,0001000935,C047965,CENDRA COLOMER LLUIS,CL AVE MARIA 3 (FCIA),17130,GIRONA,"ESCALA, L'",NO GRUPOS,28/07/2026,0,0,0,11.028,0,0,0,6.210,0,0,0,135,0,0,0,2.703,0,0,0,1.287,0,0,0,692
JESICA ELISABET CACERES GAMIZ,0001000938,C013844,SAURI MASGRAU MAGDALENA,CL PAU CASALS 13,17240,GIRONA,LLAGOSTERA,NO GRUPOS,31/07/2026,4.923,5.907,3.159,4.298,2.251,2.701,700,495,1.784,2.141,1.754,2.712,561,673,453,414,174,209,114,332,152,183,138,345
JESICA ELISABET CACERES GAMIZ,0001000951,C000582,SALA CALSINA MONTSERRAT,AV COSTA BRAVA Nº 2,17250,GIRONA,PLATJA D'ARO,NO GRUPOS,10/07/2026,14.312,17.175,11.511,13.952,6.059,7.270,3.729,3.763,4.568,5.482,4.568,4.734,1.517,1.820,1.363,2.934,1.772,2.126,1.544,2.099,397,476,307,422
JESICA ELISABET CACERES GAMIZ,0001000958,C000584,NOGUERA NIETO SOLEDAD,C ANGEL GUIMERA 75,17190,GIRONA,SALT,NO GRUPOS,15/06/2026,179,215,30,104,54,65,0,51,30,35,30,0,54,65,0,45,41,50,0,0,0,0,0,8
JESICA ELISABET CACERES GAMIZ,0001000958,C036593,NOGUERA NIETO SOLEDAD,C ANGEL GUIMERA 75,17190,GIRONA,SALT,NO GRUPOS,15/06/2026,1.136,1.363,0,0,616,739,0,0,0,0,0,0,378,453,0,0,0,0,0,0,142,170,0,0
JESICA ELISABET CACERES GAMIZ,0001000961,C014476,BROTO SOUCHEIRON JOSE RAMON,CL DR RAVENTOS 1,17403,GIRONA,SANT HILARI SACALM,NO GRUPOS,27/06/2026,5.035,6.042,3.057,3.687,2.658,3.190,1.247,1.003,1.067,1.281,1.051,1.593,873,1.048,552,503,175,210,108,390,261,313,101,198
JESICA ELISABET CACERES GAMIZ,0001000963,C010697,STEFANO ROTILI,CR SANTA COLOMA 2 (FARMACIA),17410,GIRONA,SILS,NO GRUPOS,14/07/2026,623,748,538,653,209,251,188,392,39,47,26,44,299,359,277,184,28,34,20,23,48,57,27,11
JESICA ELISABET CACERES GAMIZ,0001000963,C045030,STEFANO ROTILI,CR SANTA COLOMA 2 (FARMACIA),17410,GIRONA,SILS,ECOCEUTICS,14/07/2026,12.452,14.942,8.330,5.823,5.481,6.577,2.617,909,2.512,3.014,2.512,3.055,1.875,2.250,1.341,899,1.583,1.900,986,688,1.001,1.201,874,272
JESICA ELISABET CACERES GAMIZ,0001001492,C011705,CORRETGER BOBIS ELISA,RB XAVIER CUGAT 34,17007,GIRONA,GIRONA,NO GRUPOS,30/06/2026,826,991,679,174,388,466,311,119,48,58,48,0,236,283,227,55,144,173,93,0,9,11,0,0
JESICA ELISABET CACERES GAMIZ,0001001579,C017127,ORDIS TRULLS OLGA,PS PAÏSOS CATALANS 65,17190,GIRONA,SALT,NO GRUPOS,19/06/2026,8.125,9.749,6.395,7.648,3.217,3.861,1.813,2.499,3.007,3.608,2.945,3.340,721,866,563,871,462,554,458,467,717,861,617,471
JESICA ELISABET CACERES GAMIZ,0001001582,C004503,CASTELLO CUGAT RAMON,AV FERRAN AGULLO 12 (FARMACIA),17320,GIRONA,TOSSA DE MAR,NO GRUPOS,30/06/2026,2.206,2.647,1.378,1.057,1.146,1.375,728,430,681,817,432,242,150,180,66,225,156,188,90,101,72,87,62,59
JESICA ELISABET CACERES GAMIZ,0001001582,C042515,CASTELLO CUGAT RAMON,AV FERRAN AGULLO 12 (FARMACIA),17320,GIRONA,TOSSA DE MAR,NO GRUPOS,30/06/2026,1.898,2.278,1.898,1.856,870,1.044,870,865,683,820,683,848,146,175,146,0,0,0,0,76,198,238,198,66
JESICA ELISABET CACERES GAMIZ,0001001589,C005323,CANOVAS MORERA SILVIA,CL SANT PERE 76,17310,GIRONA,LLORET DE MAR,NO GRUPOS,10/06/2026,7,8,7,0,7,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JESICA ELISABET CACERES GAMIZ,0001001589,C036460,CANOVAS MORERA SILVIA,CL SANT PERE 76,17310,GIRONA,LLORET DE MAR,NO GRUPOS,10/06/2026,4.146,4.975,2.882,4.320,1.891,2.269,1.197,1.189,1.411,1.693,1.411,1.572,363,436,-127,1.148,401,481,401,288,80,96,0,123
JESICA ELISABET CACERES GAMIZ,0001001593,C016950,CASTEYS CODINA MIREIA,CL XALOC 27 (FARMACIA),17230,GIRONA,PALAMOS,NO GRUPOS,15/06/2026,10,13,0,38,10,13,0,6,0,0,0,22,0,0,0,10,0,0,0,0,0,0,0,0
JESICA ELISABET CACERES GAMIZ,0001001593,C041389,CASTEYS CODINA MIREIA,CL XALOC 27 (FARMACIA),17230,GIRONA,PALAMOS,NO GRUPOS,15/06/2026,4.942,5.930,3.878,3.321,2.390,2.868,1.570,1.352,1.029,1.235,1.031,1.094,667,800,576,593,610,732,544,172,247,296,157,110
JESICA ELISABET CACERES GAMIZ,0001002099,C001121,TALLADA MATEU MONTSERRAT,AV JUST MARLET 5,17310,GIRONA,LLORET DE MAR,NO GRUPOS,08/07/2026,3.181,3.817,2.961,3.593,767,920,767,237,2.093,2.511,2.093,3.049,0,0,0,0,101,122,101,206,220,264,0,101
JESICA ELISABET CACERES GAMIZ,0001002389,C006080,ALTARRIBA GARRIGA OLGA,RB LLIBERTAT 18,17004,GIRONA,GIRONA,NO GRUPOS,16/06/2026,5.612,6.734,3.646,1.187,3.062,3.674,1.368,357,1.592,1.911,1.659,199,458,549,235,379,182,218,110,46,318,381,274,206
JESICA ELISABET CACERES GAMIZ,0001002554,C015447,PARAFAR. CARME MARTINEZ LLONCH,CL TARRERES 1,17600,GIRONA,FIGUERES,NO GRUPOS,27/07/2026,251,301,126,64,122,147,29,47,,,,,42,51,11,0,86,104,86,18,0,0,0,0
JESICA ELISABET CACERES GAMIZ,0001002554,C021034,PARAFAR. CARME MARTINEZ LLONCH,CL TARRERES 1,17600,GIRONA,FIGUERES,NO GRUPOS,27/07/2026,3.135,3.762,1.250,4.964,1.018,1.222,129,1.908,734,880,734,634,913,1.095,328,821,399,479,59,1.088,71,85,0,513
JESICA ELISABET CACERES GAMIZ,0001002896,C019361,BOLADERAS SUAREZ ELISA,PS D'OLOT 22 (FARMACIA),17005,GIRONA,GIRONA,NO GRUPOS,21/07/2026,290,347,290,149,149,178,149,76,0,0,0,73,124,149,124,0,8,10,8,0,8,10,8,0
JESICA ELISABET CACERES GAMIZ,0001002896,C046110,BOLADERAS SUAREZ ELISA,PS D'OLOT 22 (FARMACIA),17005,GIRONA,GIRONA,NO GRUPOS,21/07/2026,873,1.048,0,2.888,653,783,0,1.382,0,0,0,821,76,92,0,133,125,150,0,475,19,23,0,76
JESICA ELISABET CACERES GAMIZ,0001004146,C002104,SALLES I MARTI EMILIA,CL DEL MALL 2 (FARMACIA),17220,GIRONA,SANT FELIU DE GUIXOLS,NO GRUPOS,28/07/2026,4.066,4.879,3.161,1.092,2.308,2.769,1.943,520,281,337,226,55,1.026,1.231,639,215,279,334,221,156,173,208,132,147
JESICA ELISABET CACERES GAMIZ,0001004146,C007934,SALLES I MARTI EMILIA,CL DEL MALL 2 (FARMACIA),17220,GIRONA,SANT FELIU DE GUIXOLS,ECOCEUTICS,28/07/2026,4.939,5.927,2.846,4.543,2.398,2.877,1.010,1.029,1.786,2.143,1.771,2.690,297,357,0,225,205,246,0,445,254,305,64,153
JESICA ELISABET CACERES GAMIZ,0001004182,C002132,FARMANTIGA S.L.,CL LA GUARDIA 19  AP CORREO 83,17320,GIRONA,TOSSA DE MAR,NO GRUPOS,09/04/2026,6.650,7.980,3.056,2.193,732,878,692,737,5.697,6.836,2.143,1.364,61,74,61,92,59,71,59,0,101,121,101,0
JESICA ELISABET CACERES GAMIZ,0001004770,C002092,VALLS ARARA JOAQUIM,CL MARAGALL 10 (FARMACIA),17220,GIRONA,SANT FELIU DE GUIXOLS,NO GRUPOS,03/07/2026,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
JESICA ELISABET CACERES GAMIZ,0001004770,C044301,VALLS ARARA JOAQUIM,CL MARAGALL 10 (FARMACIA),17220,GIRONA,SANT FELIU DE GUIXOLS,NO GRUPOS,03/07/2026,1.088,1.305,1.088,2.027,405,486,405,851,683,819,683,1.176,,,,,,,,,,,,
JESICA ELISABET CACERES GAMIZ,0001004806,C011837,GRATACOS-PANIAGUA C.B.,PA LLEVANT 6,17480,GIRONA,ROSES,NO GRUPOS,12/06/2026,1.094,1.312,1.094,121,917,1.100,917,-323,0,0,0,0,0,0,0,57,142,170,142,122,35,42,35,266
JESICA ELISABET CACERES GAMIZ,0001005018,C002695,VILARDELL FAJULA JULIA,CR DE GIRONA 37,17411,GIRONA,VIDRERES,NO GRUPOS,13/06/2026,651,782,209,325,268,321,177,214,0,0,0,0,128,153,32,94,0,0,0,10,256,307,0,8
JESICA ELISABET CACERES GAMIZ,0001005272,C022858,PUJOL PLA NARCIS,PA MARE DE DEU DEL VILAR 6,17300,GIRONA,BLANES,ECOCEUTICS,29/06/2026,4.655,5.586,2.147,5.426,1.672,2.007,838,1.380,1.458,1.750,500,2.913,1.308,1.570,689,721,216,260,119,339,0,0,0,73
JESICA ELISABET CACERES GAMIZ,0001005740,C003222,SAGUER NOGUERA LUIS,CL ARGENTERIA 29,17001,GIRONA,GIRONA,NO GRUPOS,27/05/2026,1.158,1.390,847,490,744,892,553,488,83,100,83,-72,34,41,11,45,61,74,61,8,236,283,138,20
JESICA ELISABET CACERES GAMIZ,0001005846,C003302,FARNERS HORTALA DANIEL MARIA,CL CASTELLA 4,17490,GIRONA,LLANÇA,NO GRUPOS,25/06/2026,12.618,15.141,11.361,7.379,4.879,5.854,4.300,2.365,5.093,6.111,4.868,3.993,1.150,1.381,907,392,931,1.117,758,322,565,678,528,306
JESICA ELISABET CACERES GAMIZ,0001005931,C003381,OMEDES MASGRAU JORDI,CL MERCADAL 16,17820,GIRONA,BANYOLES,ECOCEUTICS,01/06/2026,7.882,9.458,4.654,5.066,3.965,4.758,1.965,1.898,1.793,2.152,1.602,1.920,1.392,1.671,864,559,264,317,154,274,468,561,70,415
JESICA ELISABET CACERES GAMIZ,0001006100,C014656,FARMACIA CONEJERO ENSESA C.B.,AV SANT NARCIS 71,17005,GIRONA,GIRONA,NO GRUPOS,30/06/2026,27.856,33.427,20.915,16.647,11.492,13.790,7.464,4.045,7.032,8.439,6.816,7.259,4.299,5.159,3.025,2.152,3.532,4.238,2.627,2.184,1.501,1.801,984,1.006
JESICA ELISABET CACERES GAMIZ,0001006100,C021800,FARMACIA CONEJERO ENSESA C.B.,AV SANT NARCIS 71,17005,GIRONA,GIRONA,NO GRUPOS,30/06/2026,25,30,25,0,17,20,17,0,8,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0
JESICA ELISABET CACERES GAMIZ,0001006166,C003573,SUREDA CASAMOR C.B.,PS DE DINTRE 3,17300,GIRONA,BLANES,NO GRUPOS,10/06/2026,11.483,13.780,8.608,8.571,4.700,5.640,2.530,2.542,4.874,5.848,4.874,4.273,471,565,159,586,562,675,338,730,877,1.053,708,441
JESICA ELISABET CACERES GAMIZ,0001006254,C003659,FAJOL AYNIER Mª DOLORS,AV JOAN CARLES I 78 B,17487,GIRONA,EMPURIABRAVA,NO GRUPOS,31/07/2026,1.857,2.228,1.857,1.670,617,741,617,579,1.084,1.300,1.084,126,200,239,200,475,-44,-52,-44,331,0,0,0,158
JESICA ELISABET CACERES GAMIZ,0001006591,C003930,ARQUE I BARIOS ALBERT,AV LLUIS PERICOT 35,17003,GIRONA,GIRONA,NO GRUPOS,30/06/2026,1.503,1.804,1.099,146,703,843,540,45,60,72,60,41,473,567,322,42,117,141,68,28,151,181,109,-9
JESICA ELISABET CACERES GAMIZ,0001006591,C010341,ARQUE I BARIOS ALBERT,AV LLUIS PERICOT 35,17003,GIRONA,GIRONA,NO GRUPOS,30/06/2026,12.642,15.170,9.614,13.593,5.522,6.626,4.126,5.050,2.200,2.641,2.183,4.256,2.402,2.883,1.710,2.615,2.293,2.751,1.595,1.096,225,270,0,576
JESICA ELISABET CACERES GAMIZ,0001006631,C008240,BURSET GMÜR DAVID,"AV BAHIA, 87",17230,GIRONA,EMPURIABRAVA,ECOCEUTICS,28/06/2026,12.303,14.763,8.849,7.955,6.390,7.668,4.016,1.979,3.524,4.229,3.503,4.388,1.256,1.507,543,514,916,1.100,679,675,216,259,108,400
JESICA ELISABET CACERES GAMIZ,0001006727,C007220,PLA CAMA LLUIS,CL JOAN MARAGALL 36 FARMACIA,17002,GIRONA,GIRONA,NO GRUPOS,24/07/2026,14.662,17.594,11.317,9.786,6.875,8.250,5.102,2.840,3.194,3.832,2.912,3.411,1.996,2.396,1.204,1.607,1.622,1.947,1.434,1.327,974,1.169,665,601
JESICA ELISABET CACERES GAMIZ,0001006842,C004111,ALSIUS SUÑER ROSA,AV PAISOS CATALANS 171,17820,GIRONA,BANYOLES,NO GRUPOS,29/07/2026,4.082,4.899,2.719,2.283,709,851,374,55,804,964,804,1.135,1.836,2.203,1.140,736,526,631,388,258,208,250,14,99
JESICA ELISABET CACERES GAMIZ,0001006881,C004134,FARMACIA SUÑER C.B.,PA DE LA IGLESIA 9,17200,GIRONA,PALAFRUGELL,ECOCEUTICS,23/07/2026,6.069,7.283,4.581,4.687,2.659,3.191,1.556,1.526,1.057,1.268,1.145,1.048,1.580,1.896,1.134,1.189,698,838,672,664,75,89,75,260
JESICA ELISABET CACERES GAMIZ,0001007016,C010473,BALERI BOSCH ELISABET,CL MARINA 113,17244,GIRONA,CASSA DE LA SELVA,NO GRUPOS,17/06/2026,387,465,366,157,98,118,98,41,73,88,78,21,78,94,52,95,138,166,138,0,,,,
JESICA ELISABET CACERES GAMIZ,0001007016,C032847,BALERI BOSCH ELISABET,CL MARINA 113,17244,GIRONA,CASSA DE LA SELVA,NO GRUPOS,17/06/2026,2.859,3.431,1.985,1.826,1.094,1.313,709,286,92,110,0,373,769,923,659,551,726,871,532,432,177,213,86,184
JESICA ELISABET CACERES GAMIZ,0001007195,C004398,COLOMER COLL PILAR,CR PORT LLIGAT S/N (FARMACIA),17488,GIRONA,CADAQUES,NO GRUPOS,30/06/2026,1.792,2.150,1.366,838,528,634,312,243,770,924,734,327,159,191,92,43,285,342,193,191,50,60,35,34
JESICA ELISABET CACERES GAMIZ,0001007328,C027384,FARMACIA VILA TUSELL CB,CL MOSSEN CINTO VERDAGUER 29,17450,GIRONA,HOSTALRIC,NO GRUPOS,30/06/2026,246,295,118,535,73,88,17,191,44,53,44,47,129,154,57,254,0,0,0,32,0,0,0,10
JESICA ELISABET CACERES GAMIZ,0001007328,C032088,FARMACIA VILA TUSELL CB,CL MOSSEN CINTO VERDAGUER 29,17450,GIRONA,HOSTALRIC,NO GRUPOS,30/06/2026,5.665,6.799,3.140,1.934,2.550,3.060,506,0,778,934,765,1.575,1.515,1.819,1.338,359,57,68,43,0,764,917,488,0
JESICA ELISABET CACERES GAMIZ,0001007702,C012181,MORE FABREGAS ASUNCION,CL CATALUNYA 48 (FARMACIA),17411,GIRONA,VIDRERES,NO GRUPOS,22/07/2026,676,811,687,381,-17,-20,34,235,17,21,0,31,547,656,535,59,12,14,12,49,117,140,107,8
JESICA ELISABET CACERES GAMIZ,0001007702,C046207,MORE FABREGAS ASUNCION,CL CATALUNYA 48 (FARMACIA),17411,GIRONA,VIDRERES,NO GRUPOS,22/07/2026,879,1.055,244,1.702,174,209,104,269,,,,,679,815,140,1.134,26,31,0,44,0,0,0,254
JESICA ELISABET CACERES GAMIZ,0001007745,C014352,JUBERO CAPDEFERRO ANNA,CL MAJOR 157,17190,GIRONA,SALT,NO GRUPOS,09/07/2026,5.406,6.488,4.420,5.712,2.801,3.361,2.104,2.319,1.656,1.987,1.636,2.701,391,469,120,222,19,22,19,19,541,649,541,451
JESICA ELISABET CACERES GAMIZ,0001007997,C010721,VILA SURRIBAS RAFEL,CL FRANCESC CIURANA 25,17002,GIRONA,GIRONA,NO GRUPOS,07/10/2025,1.112,1.334,0,0,610,731,0,0,,,,,256,307,0,0,0,0,0,0,247,296,0,0
JESICA ELISABET CACERES GAMIZ,0001008038,C021767,FARMACIA PEP FOLCH ALDEHUELO,CL SANTA MARIA 28,17455,,CALDES DE MALAVELLA,NO GRUPOS,15/07/2026,19.434,23.321,13.721,9.802,10.376,12.451,7.288,5.384,3.226,3.871,2.782,1.924,3.725,4.470,2.244,1.469,1.516,1.819,1.118,767,591,710,289,257
JESICA ELISABET CACERES GAMIZ,0001008038,C041054,FARMACIA PEP FOLCH ALDEHUELO,CL SANTA MARIA 28,17455,,CALDES DE MALAVELLA,ECOCEUTICS,15/07/2026,5.114,6.137,3.134,1.887,2.689,3.227,1.095,483,872,1.046,872,882,1.086,1.303,700,161,341,409,341,362,126,151,126,0
JESICA ELISABET CACERES GAMIZ,0001008181,C005142,FARMACIA MUNTALT CB,CL BUSQUETS I PUNSET 43 (FCIA),17403,GIRONA,SANT HILARI SACALM,NO GRUPOS,29/06/2026,3.041,3.649,2.722,119,874,1.049,674,22,765,918,749,0,985,1.181,985,47,320,384,307,44,97,117,8,6
JESICA ELISABET CACERES GAMIZ,0001008181,C047153,FARMACIA MUNTALT CB,CL BUSQUETS I PUNSET 43 (FCIA),17403,GIRONA,SANT HILARI SACALM,NO GRUPOS,29/06/2026,529,635,0,2.568,231,277,0,606,0,0,0,863,269,323,0,826,17,20,0,234,12,14,0,39
JESICA ELISABET CACERES GAMIZ,0001008216,C020211,FCIA I OPT CAMP D'EN PRATS CB,CL SAGUNTO 36,17200,GIRONA,PALAFRUGELL,NO GRUPOS,02/07/2026,11.549,13.859,7.804,9.729,6.640,7.968,4.201,4.027,1.994,2.393,1.829,3.345,1.603,1.923,944,1.413,931,1.117,669,593,381,458,161,351
JESICA ELISABET CACERES GAMIZ,0001008246,C021538,VIVES ROIG NURIA,AV JOAN CARLES I 4 (FARMACIA),17300,GIRONA,BLANES,NO GRUPOS,30/06/2026,379,455,213,194,141,169,81,43,17,21,17,0,103,123,50,75,35,42,16,29,82,99,49,47
JESICA ELISABET CACERES GAMIZ,0001008246,C042161,VIVES ROIG NURIA,AV JOAN CARLES I 4 (FARMACIA),17300,GIRONA,BLANES,NO GRUPOS,30/06/2026,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,
JESICA ELISABET CACERES GAMIZ,0001008247,C005208,AMIEL I COMALADA MARIA DOLORS,CL PARE LLUIS RODES 50 (FARMACIA),17430,GIRONA,SANTA COLOMA DE FARNERS,NO GRUPOS,26/06/2026,3.803,4.563,2.707,2.524,2.483,2.979,1.784,1.195,0,0,0,955,736,883,564,148,39,46,29,91,545,654,330,136
JESICA ELISABET CACERES GAMIZ,0001008247,C017496,AMIEL I COMALADA MARIA DOLORS,CL PARE LLUIS RODES 50 (FARMACIA),17430,GIRONA,SANTA COLOMA DE FARNERS,NO GRUPOS,26/06/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JESICA ELISABET CACERES GAMIZ,0001008387,C005333,SOLER PORTELL JOSEP,CL NOU 22,17600,GIRONA,FIGUERES,NO GRUPOS,21/07/2026,19.785,23.742,14.743,13.671,5.948,7.137,4.031,3.222,265,317,215,873,7.722,9.266,5.920,5.277,5.037,6.044,4.170,4.286,815,978,407,13
JESICA ELISABET CACERES GAMIZ,0001008410,C015007,GO FOR IT NOW S.L,CL PERE PASCUET 37,17211,GIRONA,LLAFRANC,NO GRUPOS,22/03/2026,8.905,10.686,8.179,4.274,1.126,1.351,737,1.560,7.647,9.176,7.347,2.219,38,45,0,261,95,113,95,156,0,0,0,79
JESICA ELISABET CACERES GAMIZ,0001008621,C042312,FRIGOLA BEVAN GEMMA,CL CAVALLERS 46(FARMACIA),17200,GIRONA,PALAFRUGELL,NO GRUPOS,06/07/2026,3.682,4.419,2.711,2.287,732,878,142,544,2.125,2.550,2.125,1.511,431,518,49,133,18,21,18,8,376,452,376,91
JESICA ELISABET CACERES GAMIZ,0001008661,C005566,BONMATI CASTELLA ADELA,CL LA VERNEDA 57 (FARMACIA),17160,GIRONA,ANGLES,NO GRUPOS,30/07/2026,3.975,4.771,3.334,3.593,1.321,1.585,719,1.109,1.994,2.393,1.994,1.936,157,188,134,21,30,36,13,92,474,569,474,436
JESICA ELISABET CACERES GAMIZ,0001008948,C005829,PALAU MALLOL SUSANA,"PA MARQUES DE CAMPS, 7.",17001,GIRONA,GIRONA,NO GRUPOS,20/07/2026,22.029,26.435,15.619,14.593,11.177,13.413,6.561,5.937,5.860,7.033,5.618,5.743,2.122,2.547,1.509,1.618,1.935,2.322,1.361,800,934,1.121,569,494
JESICA ELISABET CACERES GAMIZ,0001009116,C026270,POU JUANOLA SANTIAGO,CL PIRROIG 23,17210,GIRONA,CALELLA DE PALAFRUGELL,NO GRUPOS,22/06/2026,12.226,14.671,10.053,7.524,3.784,4.541,2.111,1.583,6.951,8.341,6.763,5.102,364,437,259,142,774,929,691,556,353,423,228,141
JESICA ELISABET CACERES GAMIZ,0001009236,C013859,FARMACIA QUINTANA FRIGOLA C.B.,AV SANT NARCIS 32,17005,GIRONA,GIRONA,NO GRUPOS,30/07/2026,7.272,8.726,4.206,2.954,4.235,5.082,1.954,1.480,1.745,2.093,1.800,798,993,1.192,291,328,144,173,81,94,155,186,80,252
JESICA ELISABET CACERES GAMIZ,0001009311,C006078,TORRES GONZALEZ JOSEP MARIA,CL SANT ANDREU 20,17834,GIRONA,PORQUERES,NO GRUPOS,30/06/2026,4.314,5.177,2.541,1.876,1.800,2.160,1.162,422,273,328,244,590,1.264,1.517,681,529,418,502,184,329,559,670,271,6
JESICA ELISABET CACERES GAMIZ,0001009355,C006108,FARMACIA VALENT CASAS CB,AV GOLA ESTANY 27,17480,GIRONA,ROSES,NO GRUPOS,16/06/2026,167,200,108,44,27,32,27,15,,,,,79,95,73,23,61,73,8,0,0,0,0,6
JESICA ELISABET CACERES GAMIZ,0001009355,C035093,FARMACIA VALENT CASAS CB,AV GOLA ESTANY 27,17480,GIRONA,ROSES,NO GRUPOS,16/06/2026,10.245,12.294,8.963,8.694,3.387,4.064,2.410,2.050,4.430,5.316,4.430,4.745,928,1.114,837,965,799,959,799,734,701,841,487,200
