Código Nacional	Codigo Articulo	Descripción	Formato	PVL sin IVA 2026	PVP IVA Recomendado 2026	TIPO DE IVA	HEROE & BEST SELLER	Nombre Gama España	MARCA	TIPO DE PEDIDO FARMACIA
175316.8	P0004283	SENSINOL LECHE CORPORAL	400ML	17,60	25,65	21%		CUERO CABELLUDO SENSIBLE	DU-DUCRAY	DIRECTO
166050.3	P0017178	ANAPHASE CREASTIM LOCION ANTICAÍDA	60ML	39,10	56,90	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
218239.P	P0017098	DUO ANAPHASE REACTIV CHAMPU	2x400ML	22,96	33,44	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
218239.4	P0016765	ANAPHASE REACTIV CHAMPU	400ML	14,35	20,90	21%	HEROE	ANTICAIDA	DU-DUCRAY	DIRECTO
218238.7	P0016763	ANAPHASE REACTIV CHAMPU	200ML	11,61	16,90	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
218236.3	P0016771	ANAPHASE ACONDICIONADOR FORTIFICANTE ANTIRROTURA	200ML	13,65	19,90	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
170875.5	P0017186	ANACAPS REACTIV CAPS	90 CAPS	37,90	49,50	10%	HEROE	ANTICAIDA	DU-DUCRAY	DIRECTO
383687.6	P0014684	ANACAPS REACTIV CAPS	30 CAPS	19,29	24,90	10%		ANTICAIDA	DU-DUCRAY	DIRECTO
207692.1	P0013431	ANAPHASE NEOPTIDE EXPERT LOCION	2x 50 ML	42,50	61,90	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
174940.R	P0017227	DUO ANAPHASE CRONIC CHAMPU	2x400ML	22,96	33,44	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
174940.6	P0017179	ANAPHASE CRONIC CHAMPU	400 ML	14,35	20,90	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
351452.1	P0017182	ANAPHASE CRONIC CHAMPU	200 ML	11,61	16,90	21%		ANTICAIDA	DU-DUCRAY	DIRECTO
185109.3	P0017187	ANACAPS EXPERT	90 CAPS	40,20	51,90	10%		ANTICAIDA	DU-DUCRAY	DIRECTO
184338.8	P0013880	ANACAPS EXPERT	30 CAPS	20,30	25,90	10%		ANTICAIDA	DU-DUCRAY	DIRECTO
179607.P	P0016183	DEXYANE MED CON SOBREESTUCHE	100 ML	14,43	21,00	21%	HEROE	ECZEMAS	DU-DUCRAY	DIRECTO
179607.3	P0016107	DEXYANE MED CREMA	100 ML	14,43	21,00	21%	HEROE	ECZEMAS	DU-DUCRAY	DIRECTO
179605.9	P0016109	DEXYANE MED CREMA	30ML	9,47	13,80	21%		ECZEMAS	DU-DUCRAY	DIRECTO
193103.0	P0016106	DEXYANE MED PALPEBRAL	15 ML	13,82	20,10	21%	HEROE	ECZEMAS	DU-DUCRAY	DIRECTO
178317.2	P0004178	DEXYANE GEL LIMPIADOR	400 ML	13,10	19,20	21%		PIEL MUY SECA/ ATOPICA	DU-DUCRAY	DIRECTO
193668.4	P0009250	DEXYANE ACEITE LIMPIADOR	400 ML	13,10	19,20	21%		PIEL MUY SECA/ ATOPICA	DU-DUCRAY	DIRECTO
179434.5	P0009491	DEXYANE CREMA	400 ML	18,50	26,90	21%		PIEL MUY SECA/ ATOPICA	DU-DUCRAY	DIRECTO
185967.9	P0010166	DEXYANE BALSAMO	400 ML	18,50	26,90	21%		PIEL MUY SECA/ ATOPICA	DU-DUCRAY	DIRECTO
193727.8	P0009128	DEXYANE CREMA BARRERA	100 ML	10,30	15,10	21%		PIEL MUY SECA/ ATOPICA	DU-DUCRAY	DIRECTO
394056.6	P0009034	ICTYANE LECHE	400 ML	16,15	23,50	21%		PIELES SECAS	DU-DUCRAY	DIRECTO
333765.6	P0009254	ICTYANE CREMA	200ML	19,04	27,90	21%		PIELES SECAS	DU-DUCRAY	DIRECTO
303859.1	P0009035	ICTYANE CR DE MANOS	50 ML	6,30	9,20	21%		PIELES SECAS	DU-DUCRAY	DIRECTO
324609.5	P0004123	ICTYANE STICK LABIAL	3 G	5,00	7,30	21%		PIELES SECAS	DU-DUCRAY	DIRECTO
217125.1	P0004124	ICTYANE BALSAMO LABIAL	15ML	7,00	10,20	21%		PIELES SECAS	DU-DUCRAY	DIRECTO
