Código Nacional	Codigo Articulo	Descripción	Formato	PVL sin IVA 2026	PVP IVA Recomendado 2026	TIPO DE IVA	HEROE & BEST SELLER	Nombre Gama España	MARCA	TIPO DE PEDIDO FARMACIA
215369.1	P0017989	DEXERYL LOCIÓN NUTRITIVA	500 ML	10,94	15,90	21%	HÉROE	EMO-EMOLLIENT	DEXERYL	DIRECTO
182387.8	P0015685	DEXERYL SHOWER	200 ML	6,49	9,45	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
182388.5	P0015680	DEXERYL SHOWER	500 ML	9,14	13,30	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
207588.7	P0015691	DEXERYL ACEITE LIMPIADOR	200 ML	6,77	9,85	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
207590.0	P0015692	DEXERYL ACEITE LIMPIADOR	500 ML	10,97	15,95	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
219068.9	P0017378	DEXERYL ACEITE LIMPIADOR	1000 ML	13,73	19,95	21%		EMO-EMOLLIENT	DEXERYL	DIRECTO
223976.0	P0017990	DEXERYL GEL DUCHA HIDRATANTE	500 ML	8,87	12,90	21%		EMO-EMOLLIENT	DEXERYL	CAMPAÑA
224518.1	P0018408	DEXERYL GEL DUCHA HIDRATANTE	1000 ML	11,65	16,95	21%		EMO-EMOLLIENT	DEXERYL	CAMPAÑA
220227.6	P0017446	DEXECLEAR GEL ANTI-IMPERFECCIONES	400 ML	10,74	15,60	21%	HÉROE	ACNE	DEXERYL	DIRECTO
220227.P	P0018111	KIT DUO DEXECLEAR GEL ANTI-IMPERFECCIONES	2 X 400 ML	16,11	23,40	21%		ACNE	DEXERYL	DIRECTO
220597.0	P0017443	DEXECLEAR LIMPIADOR CALMANTE	400 ML	10,13	14,70	21%		ACNE	DEXERYL	DIRECTO
220229.0	P0017382	DEXECLEAR AQUAFLUIDO MATIFICANTE SPF50+	40 ML	9,54	13,85	21%		ACNE	DEXERYL	DIRECTO
222435.3	P0017855	DEXECLEAR CREMA HIDRATANTE REPARADORA	40 ML	8,65	12,60	21%		ACNE	DEXERYL	CAMPAÑA
